date,rank,song,artist,last-week,peak-rank,weeks-on-board
12/26/2020,1,Willow,Taylor Swift,,1,1
12/26/2020,2,All I Want For Christmas Is You,Mariah Carey,1,1,42
12/26/2020,3,Rockin' Around The Christmas Tree,Brenda Lee,3,2,37
12/26/2020,4,Jingle Bell Rock,Bobby Helms,5,3,34
12/26/2020,5,Mood,24kGoldn Featuring iann dior,2,1,19
12/26/2020,6,A Holly Jolly Christmas,Burl Ives,14,4,18
12/26/2020,7,It's The Most Wonderful Time Of The Year,Andy Williams,6,6,19
12/26/2020,8,Positions,Ariana Grande,4,1,8
12/26/2020,9,Dynamite,BTS,24,1,17
12/26/2020,10,Feliz Navidad,Jose Feliciano,10,10,13
12/26/2020,11,Let It Snow Let It Snow Let It Snow,Dean Martin,15,11,12
12/26/2020,12,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,12,7
12/26/2020,13,Holy,Justin Bieber Featuring Chance The Rapper,9,3,13
12/26/2020,14,Last Christmas,Wham!,11,11,18
12/26/2020,15,The Christmas Song (Merry Christmas To You),Nat King Cole,16,11,25
12/26/2020,16,Go Crazy,Chris Brown & Young Thug,13,9,32
12/26/2020,17,Laugh Now Cry Later,Drake Featuring Lil Durk,8,2,18
12/26/2020,18,Blinding Lights,The Weeknd,7,1,55
12/26/2020,19,Sleigh Ride,The Ronettes,20,19,10
12/26/2020,20,I Hope,Gabby Barrett Featuring Charlie Puth,12,3,51
12/26/2020,21,Champagne Problems,Taylor Swift,,21,1
12/26/2020,22,Body,Megan Thee Stallion,18,12,4
12/26/2020,23,Dakiti,Bad Bunny & Jhay Cortez,17,5,7
12/26/2020,24,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,19,6,18
12/26/2020,25,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,21,6,24
12/26/2020,26,Happy Holiday / The Holiday Season,Andy Williams,29,24,7
12/26/2020,27,Levitating,Dua Lipa Featuring DaBaby,27,20,11
12/26/2020,28,Underneath The Tree,Kelly Clarkson,25,25,8
12/26/2020,29,Run Rudolph Run,Chuck Berry,40,29,7
12/26/2020,30,Kings & Queens,Ava Max,22,13,19
12/26/2020,31,Rudolph The Red-Nosed Reindeer,Gene Autry,34,16,11
12/26/2020,32,Santa Tell Me,Ariana Grande,39,32,7
12/26/2020,33,Bang!,AJR,28,24,24
12/26/2020,34,No Body No Crime,Taylor Swift Featuring HAIM,,34,1
12/26/2020,35,34+35,Ariana Grande,26,8,7
12/26/2020,36,Therefore I Am,Billie Eilish,23,2,6
12/26/2020,37,Christmas (Baby Please Come Home),Darlene Love,31,29,6
12/26/2020,38,White Christmas,Bing Crosby,32,12,19
12/26/2020,39,'Tis The Damn Season,Taylor Swift,,39,1
12/26/2020,40,Gold Rush,Taylor Swift,,40,1
12/26/2020,41,Tequila Shots,Kid Cudi,,41,1
12/26/2020,42,It's Beginning To Look A Lot Like Christmas,Michael Buble,33,33,4
12/26/2020,43,(There's No Place Like) Home For The Holidays,Perry Como,37,32,6
12/26/2020,44,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,47,2,45
12/26/2020,45,Tolerate It,Taylor Swift,,45,1
12/26/2020,46,Wonderful Christmastime,Paul McCartney,45,45,3
12/26/2020,47,Deck The Halls,Nat King Cole,,47,1
12/26/2020,48,What You Know Bout Love,Pop Smoke,46,25,15
12/26/2020,49,She Knows This,Kid Cudi,,49,1
12/26/2020,50,Rockstar,DaBaby Featuring Roddy Ricch,42,1,35
12/19/2020,1,All I Want For Christmas Is You,Mariah Carey,2,1,41
12/19/2020,2,Mood,24kGoldn Featuring iann dior,1,1,18
12/19/2020,3,Rockin' Around The Christmas Tree,Brenda Lee,4,2,36
12/19/2020,4,Positions,Ariana Grande,3,1,7
12/19/2020,5,Jingle Bell Rock,Bobby Helms,9,3,33
12/19/2020,6,It's The Most Wonderful Time Of The Year,Andy Williams,12,6,18
12/19/2020,7,Blinding Lights,The Weeknd,11,1,54
12/19/2020,8,Laugh Now Cry Later,Drake Featuring Lil Durk,6,2,17
12/19/2020,9,Holy,Justin Bieber Featuring Chance The Rapper,7,3,12
12/19/2020,10,Feliz Navidad,Jose Feliciano,16,10,12
12/19/2020,11,Last Christmas,Wham!,21,11,17
12/19/2020,12,I Hope,Gabby Barrett Featuring Charlie Puth,8,3,50
12/19/2020,13,Go Crazy,Chris Brown & Young Thug,15,9,31
12/19/2020,14,A Holly Jolly Christmas,Burl Ives,24,4,17
12/19/2020,15,Let It Snow Let It Snow Let It Snow,Dean Martin,22,15,11
12/19/2020,16,The Christmas Song (Merry Christmas To You),Nat King Cole,18,11,24
12/19/2020,17,Dakiti,Bad Bunny & Jhay Cortez,5,5,6
12/19/2020,18,Body,Megan Thee Stallion,14,12,3
12/19/2020,19,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,13,6,17
12/19/2020,20,Sleigh Ride,The Ronettes,23,20,9
12/19/2020,21,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,17,6,23
12/19/2020,22,Kings & Queens,Ava Max,19,13,18
12/19/2020,23,Therefore I Am,Billie Eilish,20,2,5
12/19/2020,24,Dynamite,BTS,10,1,16
12/19/2020,25,Underneath The Tree,Kelly Clarkson,30,25,7
12/19/2020,26,34+35,Ariana Grande,25,8,6
12/19/2020,27,Levitating,Dua Lipa Featuring DaBaby,26,20,10
12/19/2020,28,Bang!,AJR,27,24,23
12/19/2020,29,Happy Holiday / The Holiday Season,Andy Williams,34,24,6
12/19/2020,30,On Me,Lil Baby,,30,1
12/19/2020,31,Christmas (Baby Please Come Home),Darlene Love,41,29,5
